Title,Year,Directors,WatchedDate,Rating,Rating10
Sherlock Holmes: A Game of Shadows (Sherlock Holmes 2),2011,Guy Ritchie,2014-08-10,3.5,7
Sherlock Holmes,2009,Guy Ritchie,2014-08-10,3.5,7
Rear Window,1954,Alfred Hitchcock,2014-08-10,4.0,8
The Devil Inside,2012,William Brent Bell,2014-08-10,2.5,5
Léon: The Professional,1994,Luc Besson,2014-08-10,4.0,8
Seven,1995,David Fincher,2014-08-10,4.5,9
Mallrats,1995,Kevin Smith,2014-08-10,3.5,7
Lilly the Witch: The Dragon and the Magic Book,2009,Stefan Ruzowitzky,2014-08-10,2.5,5
North by Northwest,1959,Alfred Hitchcock,2014-08-10,4.5,9
Falling Down,1993,Joel Schumacher,2014-08-10,3.5,7
The Goonies,1985,Richard Donner,2014-08-10,4.0,8
Angel Heart,1987,Alan Parker,2014-08-10,3.5,7
Wasabi,2001,Gérard Krawczyk,2014-08-10,3.5,7
Puss in Boots,2011,Chris Miller,2014-08-10,3.5,7
The Warrior's Way,2010,Sngmoo Lee,2014-08-10,3.0,6
Videodrome,1983,David Cronenberg,2014-08-10,3.5,7
Fantastic Mr. Fox,2009,Wes Anderson,2014-08-10,3.5,7
Buried,2010,Rodrigo Cortés,2014-08-10,3.5,7
The Bodyguard,1992,Mick Jackson,2014-08-10,3.0,6
Extreme Measures,1996,Michael Apted,2014-08-10,3.5,7
28 Weeks Later,2007,Juan Carlos Fresnadillo,2014-08-10,3.5,7
Young Frankenstein,1974,Mel Brooks,2014-08-10,4.0,8
Defendor,2009,Peter Stebbings,2014-08-10,3.0,6
Office Space,1999,Mike Judge,2014-08-10,3.0,6
The Wild Hunt,2009,Alexandre Franchi,2014-08-10,3.0,6
Taxi Driver,1976,Martin Scorsese,2014-08-10,5.0,10
Sneakers,1992,Phil Alden Robinson,2014-08-10,3.5,7
Blue Velvet,1986,David Lynch,2014-08-10,4.0,8
"Lock, Stock and Two Smoking Barrels",1998,Guy Ritchie,2014-08-10,4.0,8
WarGames,1983,John Badham,2014-08-10,4.0,8
RocknRolla,2008,Guy Ritchie,2014-08-10,4.0,8
Metropolis,2001,Rintaro,2014-08-10,3.5,7
The Birds,1963,Alfred Hitchcock,2014-08-10,3.5,7
Braveheart,1995,Mel Gibson,2014-08-10,4.5,9
History of the World: Part I,1981,Mel Brooks,2014-08-10,3.5,7
American Psycho,2000,Mary Harron,2014-08-10,4.0,8
Fear and Loathing in Las Vegas,1998,Terry Gilliam,2014-08-10,4.0,8
Top Gun,1986,Tony Scott,2014-08-10,3.5,7
Pay It Forward,2000,Mimi Leder,2014-08-10,3.5,7
2001: A Space Odyssey,1968,Stanley Kubrick,2014-08-10,3.5,7
Little Miss Sunshine,2006,"Jonathan Dayton, Valerie Faris",2014-08-10,4.0,8
Nacho Libre,2006,Jared Hess,2014-08-10,3.0,6
Surrogates,2009,Jonathan Mostow,2014-08-10,3.0,6
Rio,2011,Carlos Saldanha,2014-08-10,3.0,6
The Lords of Dogtown,2005,Catherine Hardwicke,2014-08-10,3.5,7
Heavy Metal 2000,2000,"Michael Coldewey, Michel Lemire",2014-08-10,3.5,7
Heavy Metal,1981,Gerald Potterton,2014-08-10,3.5,7
Being John Malkovich,1999,Spike Jonze,2014-08-10,4.0,8
Scott Pilgrim vs. the World,2010,Edgar Wright,2014-08-10,3.5,7
Legion,2010,Scott Stewart,2014-08-10,2.0,4
Metropolis,1927,Fritz Lang,2014-08-10,4.0,8
Tenacious D: The Pick of Destiny,2006,Liam Lynch,2014-08-10,3.5,7
Conan the Destroyer,1984,Richard Fleischer,2014-08-10,3.5,7
Perfect Blue,1997,Satoshi Kon,2014-08-10,4.0,8
Paprika,2006,Satoshi Kon,2014-08-10,4.0,8
Anvil! The Story of Anvil,2008,Sacha Gervasi,2014-08-10,4.0,8
The Sting,1973,George Roy Hill,2014-08-10,4.5,9
Casablanca,1942,Michael Curtiz,2014-08-10,4.0,8
12 Monkeys,1995,Terry Gilliam,2014-08-10,3.0,6
The Prestige,2006,Christopher Nolan,2014-08-10,4.0,8
Conan the Barbarian,1982,John Milius,2014-08-10,4.0,8
Road to Perdition,2002,Sam Mendes,2014-08-10,3.5,7
The Gruffalo,2009,"Max Lang, Jakob Schuh",2014-08-10,3.5,7
The Last Samurai,2003,Edward Zwick,2014-08-10,4.0,8
Ong Bak 3,2010,"Tony Jaa, Panna Rittikrai",2014-08-10,3.0,6
Hoodwinked,2005,"Cory Edwards, Todd Edwards",2014-08-10,3.0,6
Clerks II,2006,Kevin Smith,2014-08-10,3.5,7
Clerks,1994,Kevin Smith,2014-08-10,4.0,8
TRON: Legacy,2010,Joseph Kosinski,2014-08-10,4.0,8
Zombieland,2009,Ruben Fleischer,2014-08-10,3.5,7
The Crow,1994,Alex Proyas,2014-08-10,4.0,8
Airheads,1994,Michael Lehmann,2014-08-10,3.0,6
"Amanece, que no es poco",1989,José Luis Cuerda,2014-08-10,4.0,8
Pi: Faith in Chaos,1998,Darren Aronofsky,2014-08-10,2.5,5
9,2009,Shane Acker,2014-08-10,3.5,7
The Social Network,2010,David Fincher,2014-08-10,3.5,7
Star Trek: Nemesis,2002,Stuart Baird,2014-08-10,3.0,6
The Basketball Diaries,1995,Scott Kalvert,2014-08-10,4.0,8
Cube Zero,2004,Ernie Barbarash,2014-08-10,3.5,7
Cube 2: Hypercube,2002,Andrzej Sekula,2014-08-10,3.0,6
Cube,1997,Vincenzo Natali,2014-08-10,4.5,9
The Italian Job,1969,Peter Collinson,2014-08-10,4.0,8
Waiting...,2005,Rob McKittrick,2014-08-10,2.5,5
The Day of the Beast,1995,Álex de la Iglesia,2014-08-10,4.0,8
Full Metal Jacket,1987,Stanley Kubrick,2014-08-10,4.0,8
Saw,2004,James Wan,2014-08-10,4.0,8
The Killing,1956,Stanley Kubrick,2014-08-10,4.5,9
Where the Wild Things Are,2009,Spike Jonze,2014-08-10,4.0,8
This Boy's Life,1993,Michael Caton-Jones,2014-08-10,4.0,8
G.I. Joe: The Rise of Cobra,2009,Stephen Sommers,2014-08-10,2.5,5
Life Is Beautiful,1997,Roberto Benigni,2014-08-10,4.5,9
Idiocracy,2006,Mike Judge,2014-08-10,3.5,7
Dogma,1999,Kevin Smith,2014-08-10,4.0,8
The Godfather,1972,Francis Ford Coppola,2014-08-10,4.5,9
Memento,2000,Christopher Nolan,2014-08-10,4.0,8
The Italian Job,2003,F. Gary Gray,2014-08-10,3.5,7
The Tourist,2010,Florian Henckel von Donnersmarck,2014-08-10,3.5,7
Patton,1970,Franklin J. Schaffner,2014-08-10,4.0,8
What's Eating Gilbert Grape?,1993,Lasse Hallström,2014-08-10,3.5,7
This Is England,2006,Shane Meadows,2014-08-10,3.5,7
Scarface,1983,Brian De Palma,2014-08-10,4.0,8
El milagro de P. Tinto,1998,Javier Fesser,2014-08-10,3.5,7
The Imaginarium of Doctor Parnassus,2009,Terry Gilliam,2014-08-10,4.0,8
Hard Candy,2005,David Slade,2014-08-10,4.0,8
A Night at the Roxbury,1998,John Fortenberry,2014-08-10,3.5,7
Antitrust,2001,Peter Howitt,2014-08-10,3.5,7
Master and Commander: The Far Side of the World,2003,Peter Weir,2014-08-10,2.5,5
Enemy at the Gates,2001,Jean-Jacques Annaud,2014-08-10,4.0,8
The Downfall: Hitler and the End of the Third Reich,2004,Oliver Hirschbiegel,2014-08-10,3.0,6
Fight Club,1999,David Fincher,2014-08-10,4.5,9
One Flew Over the Cuckoo's Nest,1975,Milos Forman,2014-08-10,4.0,8
The Chronicles of Riddick,2004,David Twohy,2014-08-10,3.5,7
Minority Report,2002,Steven Spielberg,2014-08-10,3.5,7
Almost Famous,2000,Cameron Crowe,2014-08-10,4.5,9
The Year One,2009,Harold Ramis,2014-08-10,2.5,5
Transformers: Dark of the Moon,2011,Michael Bay,2014-08-10,3.0,6
Transformers: Revenge of the Fallen,2009,Michael Bay,2014-08-10,3.0,6
Transformers,2007,Michael Bay,2014-08-10,3.5,7
Kárate a muerte en Torremolinos,2003,Pedro Temboury,2014-08-10,3.0,6
The Iron Giant,1999,Brad Bird,2014-08-10,3.0,6
Grindhouse (Planet Terror),2007,Robert Rodriguez,2014-08-10,3.5,7
Hotel Rwanda,2004,Terry George,2014-08-10,3.5,7
Elite Squad,2007,José Padilha,2014-08-10,4.0,8
Astro Boy (Astroboy),2009,David Bowers,2014-08-10,3.0,6
The Chronicles of Riddick: Dark Fury,2004,Peter Chung,2014-08-10,3.0,6
The Chronicles of Narnia: The Voyage of the Dawn Treader,2010,Michael Apted,2014-08-10,3.5,7
The Chronicles of Narnia: Prince Caspian,2008,Andrew Adamson,2014-08-10,3.5,7
"The Chronicles of Narnia: The Lion, The Witch and the Wardrobe",2005,Andrew Adamson,2014-08-10,3.5,7
To Hell with the Ugly,2010,Nacho G. Velilla,2014-08-10,3.0,6
The Expendables,2010,Sylvester Stallone,2014-08-10,3.0,6
Night at the Museum: Battle of the Smithsonian,2009,Shawn Levy,2014-08-10,3.0,6
Night at the Museum,2006,Shawn Levy,2014-08-10,3.5,7
Gremlins 2: The New Batch,1990,Joe Dante,2014-08-10,3.0,6
Gremlins,1984,Joe Dante,2014-08-10,4.0,8
Machete,2010,"Robert Rodriguez, Ethan Maniquis",2014-08-10,3.5,7
The Hole,2001,Nick Hamm,2014-08-10,4.0,8
Alien,1979,Ridley Scott,2014-08-10,4.0,8
Rosemary's Baby,1968,Roman Polanski,2014-08-10,4.0,8
The Secret,2006,Drew Heriot,2014-08-10,3.0,6
District 9,2009,Neill Blomkamp,2014-08-10,4.0,8
Schindler's List,1993,Steven Spielberg,2014-08-10,4.5,9
Kick-Ass,2010,Matthew Vaughn,2014-08-10,3.5,7
The Island,2005,Michael Bay,2014-08-10,3.0,6
Trainspotting,1996,Danny Boyle,2014-08-10,4.5,9
Psycho,1960,Alfred Hitchcock,2014-08-10,4.5,9
Pitch Black,2000,David Twohy,2014-08-10,4.0,8
Heartbreak Ridge,1986,Clint Eastwood,2014-08-10,4.5,9
The Secret of Kells,2009,"Tomm Moore, Nora Twomey",2014-08-10,5.0,10
The Hangover,2009,Todd Phillips,2014-08-10,3.5,7
Despicable Me 2,2013,"Pierre Coffin, Chris Renaud",2014-08-10,4.0,8
Despicable Me,2010,"Pierre Coffin, Chris Renaud",2014-08-10,4.0,8
Salt,2010,Phillip Noyce,2014-08-10,2.5,5
Cell 211,2009,Daniel Monzón,2014-08-10,3.5,7
8MM,1999,Joel Schumacher,2014-08-10,4.0,8
Zack and Miri Make a Porno,2008,Kevin Smith,2014-08-10,3.0,6
Dawn of the Dead,2004,Zack Snyder,2014-08-10,3.5,7
Brüno,2009,Larry Charles,2014-08-10,3.0,6
From Paris with Love,2010,Pierre Morel,2014-08-10,4.0,8
Swordfish,2001,Dominic Sena,2014-08-10,3.5,7
Iron Maiden - Flight 666: The film,2009,"Sam Dunn, Scot McFadyen",2014-08-10,4.0,8
Ong Bak 2,2008,"Tony Jaa, Panna Rittikrai",2014-08-10,3.0,6
Ong Bak: Muay Thai Warrior,2003,Prachya Pinkaew,2014-08-10,3.0,6
Monsters vs. Aliens,2009,"Rob Letterman, Conrad Vernon",2014-08-10,2.5,5
Tekkonkinkreet,2006,Michael Arias,2014-08-10,4.0,8
Snatch,2000,Guy Ritchie,2014-08-10,4.5,9
Inception,2010,Christopher Nolan,2014-08-10,4.5,9
The Return of the Pink Panther,1975,Blake Edwards,2014-08-10,3.5,7
The Big Lebowski,1998,Joel Coen,2014-08-10,4.0,8
28 Days Later,2002,Danny Boyle,2014-08-10,3.5,7
The Party,1968,Blake Edwards,2014-08-10,4.5,9
Prince of Persia: The Sands of Time,2010,Mike Newell,2014-08-10,3.0,6
Alice in Wonderland,2010,Tim Burton,2014-08-10,3.5,7
Lesbian Vampire Killers,2009,Phil Claydon,2014-08-10,2.5,5
Spanish Movie,2009,Javier Ruiz Caldera,2014-08-10,2.5,5
Shutter Island,2010,Martin Scorsese,2014-08-10,4.0,8
D-War (Dragon Wars),2007,Shim Hyung-rae,2014-08-10,2.0,4
How to Train Your Dragon,2010,"Dean DeBlois, Chris Sanders",2014-08-10,3.5,7
Surf Nazis Must Die,1987,Peter George,2014-08-10,2.0,4
The Men Who Stare at Goats,2009,Grant Heslov,2014-08-10,3.0,6
Percy Jackson & the Olympians: The Lightning Thief,2010,Chris Columbus,2014-08-10,3.0,6
Cashback,2006,Sean Ellis,2014-08-10,4.0,8
Avatar,2009,James Cameron,2014-08-10,3.5,7
The Longest Penalty Shot in the World,2005,Roberto Santiago,2014-08-10,3.0,6
Planet 51,2009,"Jorge Blanco, Javier Abad",2014-08-10,3.0,6
The Last Legion,2007,Doug Lefler,2014-08-10,2.5,5
The Princess Bride,1987,Rob Reiner,2014-08-10,4.5,9
The Bourne Ultimatum,2007,Paul Greengrass,2014-08-10,4.0,8
The Bourne Supremacy,2004,Paul Greengrass,2014-08-10,4.0,8
The Bourne Identity,2002,Doug Liman,2014-08-10,4.0,8
Valkyrie,2008,Bryan Singer,2014-08-10,3.5,7
The Silence of the Lambs,1991,Jonathan Demme,2014-08-10,4.0,8
The Illusionist,2006,Neil Burger,2014-08-10,4.0,8
Gladiator,2000,Ridley Scott,2014-08-10,4.5,9
Seven Pounds,2008,Gabriele Muccino,2014-08-10,4.0,8
Up,2009,"Pete Docter, Bob Peterson",2014-08-10,4.0,8
Manolito Four Eyes,1999,Miguel Albaladejo,2014-08-10,2.5,5
Back to the Future. Part III,1990,Robert Zemeckis,2014-08-10,4.0,8
Back to the Future. Part II,1989,Robert Zemeckis,2014-08-10,4.0,8
Back to the Future,1985,Robert Zemeckis,2014-08-10,4.0,8
E.T.: The Extra-Terrestrial,1982,Steven Spielberg,2014-08-10,4.0,8
The Pianist,2002,Roman Polanski,2014-08-10,4.0,8
The Hitchhiker's Guide to the Galaxy,2005,Garth Jennings,2014-08-10,4.0,8
The Bridges of Madison County,1995,Clint Eastwood,2014-08-10,4.0,8
Ocean's Thirteen,2007,Steven Soderbergh,2014-08-10,4.0,8
Ocean's Twelve,2004,Steven Soderbergh,2014-08-10,4.0,8
Ocean's Eleven,2001,Steven Soderbergh,2014-08-10,4.0,8
Slumdog Millionaire,2008,"Danny Boyle, Loveleen Tandan",2014-08-10,3.5,7
The Sixth Sense,1999,M. Night Shyamalan,2014-08-10,4.0,8
Finding Nemo,2003,"Andrew Stanton, Lee Unkrich",2014-08-10,4.0,8
WALL•E,2008,Andrew Stanton,2014-08-10,4.0,8
The Curious Case of Benjamin Button,2008,David Fincher,2014-08-10,3.5,7
Forrest Gump,1994,Robert Zemeckis,2014-08-10,4.0,8
Tapas,2005,"José Corbacho, Juan Cruz",2014-08-10,3.0,6
The Lost World: Jurassic Park,1997,Steven Spielberg,2014-08-10,3.0,6
Jurassic Park,1993,Steven Spielberg,2014-08-10,4.0,8
Inglourious Basterds,2009,Quentin Tarantino,2014-08-10,4.0,8
Jackie Brown,1997,Quentin Tarantino,2014-08-10,3.0,6
Four Rooms,1995,"Allison Anders, Alexandre Rockwell",2014-08-10,4.0,8
A Clockwork Orange,1971,Stanley Kubrick,2014-08-10,4.5,9
The Birdcage,1996,Mike Nichols,2014-08-10,4.0,8
Moulin Rouge,2001,Baz Luhrmann,2014-08-10,3.5,7
Hollow Man,2000,Paul Verhoeven,2014-08-10,2.0,4
Zoolander,2001,Ben Stiller,2014-08-10,3.5,7
Mars Attacks!,1996,Tim Burton,2014-08-10,3.5,7
Coyote Ugly,2000,David McNally,2014-08-10,2.5,5
The Lion King II: Simba's Pride,1998,"Darrell Rooney, Rob LaDuca",2014-08-10,3.0,6
The Lion King,1994,"Rob Minkoff, Roger Allers",2014-08-10,4.0,8
Grease,1978,Randal Kleiser,2014-08-10,4.0,8
Friend Zone,2009,Borja Cobeaga,2014-08-10,3.0,6
"Dude, Where's my Car?",2000,Danny Leiner,2014-08-10,3.0,6
Isi/Disi: Alto voltaje,2006,Miguel Ángel Lamata,2014-08-10,3.0,6
Isi/Disi: Amor a lo bestia,2004,Chema de la Peña,2014-08-10,3.0,6
Monsters University,2013,Dan Scanlon,2014-08-10,3.5,7
"Monsters, Inc.",2001,"Pete Docter, Lee Unkrich",2014-08-10,4.0,8
The Golden Compass,2007,Chris Weitz,2014-08-10,2.5,5
K-Pax,2001,Iain Softley,2014-08-10,3.5,7
X-Men,2000,Bryan Singer,2014-08-10,3.5,7
Corpse Bride,2005,"Tim Burton, Mike Johnson",2014-08-10,3.5,7
Charlie and the Chocolate Factory,2005,Tim Burton,2014-08-10,3.5,7
Seven Years in Tibet,1997,Jean-Jacques Annaud,2014-08-10,3.5,7
Monty Python's The Meaning of Life,1983,"Terry Jones, Terry Gilliam",2014-08-10,3.5,7
Ice Age: Dawn of the Dinosaurs (Ice Age 3),2009,"Carlos Saldanha, Mike Thurmeier",2014-08-10,3.5,7
Ice Age 2: The Meltdown,2006,Carlos Saldanha,2014-08-10,3.5,7
The Simpsons Movie,2007,David Silverman,2014-08-10,4.0,8
Toy Story 3,2010,Lee Unkrich,2014-08-10,4.5,9
Toy Story 2,1999,"John Lasseter, Ash Brannon",2014-08-10,4.0,8
Toy Story,1995,John Lasseter,2014-08-10,4.0,8
The Incredibles,2004,Brad Bird,2014-08-10,3.5,7
Pom Poko,1994,Isao Takahata,2014-08-10,4.0,8
Grave of the Fireflies,1988,Isao Takahata,2014-08-10,4.0,8
Ponyo on the Cliff by the Sea,2008,Hayao Miyazaki,2014-08-10,3.5,7
Howl's Moving Castle,2004,Hayao Miyazaki,2014-08-10,4.5,9
Spirited Away,2001,Hayao Miyazaki,2014-08-10,5.0,10
Princess Mononoke,1997,Hayao Miyazaki,2014-08-10,5.0,10
Porco Rosso,1992,Hayao Miyazaki,2014-08-10,4.0,8
Kiki's Delivery Service,1989,Hayao Miyazaki,2014-08-10,3.0,6
My Neighbor Totoro,1988,Hayao Miyazaki,2014-08-10,4.5,9
Castle in the Sky,1986,Hayao Miyazaki,2014-08-10,4.0,8
Nausicaä of the Valley of the Wind,1984,Hayao Miyazaki,2014-08-10,4.0,8
Lupin III: The Castle of Cagliostro,1979,Hayao Miyazaki,2014-08-10,4.5,9
Kids,1995,Larry Clark,2014-08-10,3.5,7
City of God,2002,"Fernando Meirelles, Kátia Lund",2014-08-10,4.5,9
Desperado,1995,Robert Rodriguez,2014-08-10,3.5,7
Daredevil,2003,Mark Steven Johnson,2014-08-10,2.5,5
Bedknobs & Broomsticks,1971,Robert Stevenson,2014-08-10,4.0,8
The Time Machine,2002,Simon Wells,2014-08-10,3.0,6
X3 (X-Men 3: The Last Stand),2006,Brett Ratner,2014-08-10,3.5,7
Hellboy,2004,Guillermo del Toro,2014-08-10,4.0,8
Goldeneye,1995,Martin Campbell,2014-08-10,3.5,7
Harry Potter and the Deathly Hallows: Part II,2011,David Yates,2014-08-10,3.5,7
Harry Potter and the Deathly Hallows: Part I,2010,David Yates,2014-08-10,4.0,8
Harry Potter and the Half-Blood Prince,2009,David Yates,2014-08-10,4.0,8
Harry Potter and the Order of the Phoenix,2007,David Yates,2014-08-10,4.0,8
Harry Potter and the Goblet of Fire,2005,Mike Newell,2014-08-10,4.0,8
Harry Potter and the Prisoner of Azkaban,2004,Alfonso Cuarón,2014-08-10,4.0,8
Harry Potter and the Chamber of Secrets,2002,Chris Columbus,2014-08-10,4.0,8
Harry Potter and the Sorcerer's Stone,2001,Chris Columbus,2014-08-10,4.0,8
DragonHeart,1996,Rob Cohen,2014-08-10,3.5,7
Collateral,2004,Michael Mann,2014-08-10,3.0,6
The Karate Kid,1984,John G. Avildsen,2014-08-10,4.0,8
Iron Man 3,2013,Shane Black,2014-08-10,3.0,6
Iron Man 2,2010,Jon Favreau,2014-08-10,3.0,6
Iron Man,2008,Jon Favreau,2014-08-10,3.5,7
Mad Max 2: The Road Warrior,1981,George Miller,2014-08-10,3.5,7
Mad Max,1979,George Miller,2014-08-10,3.5,7
Final Fantasy: The Spirits Within,2001,"Hironobu Sakaguchi, Motonori Sakakibara",2014-08-10,2.0,4
X-Men Origins: Wolverine,2009,Gavin Hood,2014-08-10,3.5,7
Munich,2005,Steven Spielberg,2014-08-10,3.0,6
"Crouching Tiger, Hidden Dragon",2000,Ang Lee,2014-08-10,3.5,7
Cast Away,2000,Robert Zemeckis,2014-08-10,4.0,8
Blade II (Blade 2),2002,Guillermo del Toro,2014-08-10,3.0,6
Blade,1998,Stephen Norrington,2014-08-10,3.5,7
Independence Day,1996,Roland Emmerich,2014-08-10,3.5,7
In Bruges,2008,Martin McDonagh,2014-08-10,4.0,8
Spider-Man 3 (Spiderman 3),2007,Sam Raimi,2014-08-10,3.0,6
Spider-Man 2,2004,Sam Raimi,2014-08-10,3.5,7
Spider-Man (Spiderman),2002,Sam Raimi,2014-08-10,3.5,7
Indiana Jones and the Kingdom of the Crystal Skull (Indiana Jones 4),2008,Steven Spielberg,2014-08-10,2.5,5
Indiana Jones and the Last Crusade,1989,Steven Spielberg,2014-08-10,4.0,8
Indiana Jones and the Temple of Doom,1984,Steven Spielberg,2014-08-10,4.0,8
Indiana Jones: Raiders of the Lost Ark,1981,Steven Spielberg,2014-08-10,4.5,9
Kung Fu Panda: Secrets of the Masters,2011,Anthony Leondis,2014-08-10,3.5,7
Pirates of the Caribbean: The Curse of the Black Pearl,2003,Gore Verbinski,2014-08-10,4.0,8
Pirates of the Caribbean: On Stranger Tides,2011,Rob Marshall,2014-08-10,3.0,6
Pirates of the Caribbean: At World's End,2007,Gore Verbinski,2014-08-10,4.0,8
Pirates of the Caribbean: Dead Man's Chest,2006,Gore Verbinski,2014-08-10,3.5,7
Chicken Run,2000,"Nick Park, Peter Lord",2014-08-10,3.0,6
There's Something About Mary,1998,"Peter Farrelly, Bobby Farrelly",2014-08-10,3.5,7
From Dusk Till Dawn,1996,Robert Rodriguez,2014-08-10,3.5,7
Catch Me If You Can,2002,Steven Spielberg,2014-08-10,3.5,7
Saving Private Ryan,1998,Steven Spielberg,2014-08-10,3.5,7
V For Vendetta,2006,James McTeigue,2014-08-10,3.5,7
Shrek 2,2004,"Andrew Adamson, Kelly Asbury",2014-08-10,4.0,8
Shrek,2001,"Andrew Adamson, Vicky Jenson",2014-08-10,4.0,8
The Dark Knight,2008,Christopher Nolan,2014-08-10,4.0,8
Gran Torino,2008,Clint Eastwood,2014-08-10,4.0,8
Reservoir Dogs,1992,Quentin Tarantino,2014-08-10,4.0,8
The One,2001,James Wong,2014-08-10,3.0,6
Now You See Me,2013,Louis Leterrier,2014-08-10,3.5,7
Sleuth,2007,Kenneth Branagh,2014-08-04,3.0,6
Spanish Affair,2014,Emilio Martínez-Lázaro,2014-08-04,4.0,8
Cloudy with a Chance of Meatballs 2,2013,"Cody Cameron, Kris Pearn",2014-08-04,4.0,8
